Date,Units,Assets
2021-04-11,63884495,1480843.00
2021-04-12,63902943,1472963.00
2021-04-13,63963205,1456442.00
2021-04-18,63989396,1481355.00
2021-04-19,63966505,1476987.00
2021-04-20,63947697,1470158.00
2021-04-21,64563091,1470102.00
2021-04-22,64595246,1475355.00
2021-04-25,64654151,1471528.00
2021-04-26,64736030,1470803.00
2021-04-27,64762061,1488880.00
2021-04-28,64704926,1477861.00
2021-04-29,64742099,1485184.00
2021-05-02,64762310,1487590.00
2021-05-03,64793626,1506452.00
2021-05-04,64795269,1517505.00
2021-05-05,64784250,1527613.00
2021-05-06,64790295,1542657.00
2021-05-09,64799650,1550008.00
2021-05-10,64801727,1557185.00
2021-05-11,64811746,1532798.00
2021-05-12,64731541,1521839.00
2021-05-13,64464691,1547797.00
2021-05-18,64246879,1570836.00
2021-05-19,64283687,1576879.00
2021-05-20,64250056,1586334.00
2021-05-23,64308149,1594842.00
2021-05-24,64277342,1587008.00
2021-05-25,64323623,1602301.00
2021-05-26,64270447,1612546.00
2021-05-27,64249307,1628077.00
2021-05-30,64283233,1619295.00
2021-05-31,64314843,1593722.00
2021-06-01,64363721,1601369.00
2021-06-02,64412607,1621265.00
2021-06-03,64428142,1604261.00
2021-06-06,64374400,1603566.00
2021-06-07,64427490,1616486.00
2021-06-08,64431488,1623029.00
2021-06-09,64397668,1608010.00
2021-06-10,64444152,1597571.00
2021-06-13,64525551,1606041.00
2021-06-14,64537339,1617951.00
2021-06-15,64554549,1608699.00
2021-06-16,64560962,1624354.00
2021-06-17,64510048,1621138.00
2021-06-20,64600725,1588532.00
2021-06-21,64574364,1592404.00
2021-06-22,64509354,1587575.00
2021-06-23,64596956,1570352.00
2021-06-24,64559085,1566203.00
2021-06-27,64491902,1549095.00
2021-06-28,64461935,1560623.00
2021-06-29,64472817,1554440.00
2021-06-30,64476497,1562910.00
2021-07-01,64479077,1580382.00
2021-07-04,64483160,1584351.00
2021-07-05,64439550,1574258.00
2021-07-06,64426567,1564277.00
2021-07-07,64418399,1563435.00
2021-07-08,64387750,1530497.00
2021-07-11,64237823,1562264.00
2021-07-12,64195576,1554817.00
2021-07-13,64216710,1542485.00
2021-07-14,64213774,1534709.00
2021-07-15,64202254,1524162.00
2021-07-19,64131401,1486566.00
2021-07-20,63928559,1490175.00
2021-07-21,63852514,1510112.00
2021-07-22,63848863,1506833.00
2021-07-25,63883762,1518517.00
2021-07-26,63878865,1518401.00
2021-07-27,63837072,1526344.00
2021-07-28,63832613,1526876.00
2021-07-29,63793240,1521469.00
2021-08-01,63764127,1519499.00
2021-08-02,63684945,1562829.00
