Date,Units,Assets
2021-04-11,8982120,2019181.00
2021-04-12,8986512,2005789.00
2021-04-13,8993425,1987547.00
2021-04-18,8999843,2026765.00
2021-04-19,9007185,2020312.00
2021-04-20,9009234,2010861.00
2021-04-21,8938507,1970047.00
2021-04-22,8944598,1977651.00
2021-04-25,8928348,1968701.00
2021-04-26,8927220,1960418.00
2021-04-27,8925581,1990405.00
2021-04-28,8926444,1976315.00
2021-04-29,8927888,1985562.00
2021-05-02,8927328,1985438.00
2021-05-03,8926307,2017345.00
2021-05-04,8924958,2022395.00
2021-05-05,8925390,2035881.00
2021-05-06,8907670,2052327.00
2021-05-09,8904136,2063979.00
2021-05-10,8901453,2074039.00
2021-05-11,8900685,2046267.00
2021-05-12,8885846,2026861.00
2021-05-13,8873255,2075454.00
2021-05-18,8870518,2107635.00
2021-05-19,8874143,2112933.00
2021-05-20,8872727,2124131.00
2021-05-23,8873985,2134193.00
2021-05-24,8874065,2116465.00
2021-05-25,8858670,2136711.00
2021-05-26,8681664,2110513.00
2021-05-27,8677158,2131110.00
2021-05-30,8673540,2118946.00
2021-05-31,8672610,2086630.00
2021-06-01,8674503,2096627.00
2021-06-02,8675119,2120199.00
2021-06-03,8675192,2088986.00
2021-06-06,8672256,2096952.00
2021-06-07,8670601,2108690.00
2021-06-08,8667933,2116709.00
2021-06-09,8664996,2096929.00
2021-06-10,8666287,2092908.00
2021-06-13,8664255,2094150.00
2021-06-14,8664263,2105416.00
2021-06-15,8659659,2094772.00
2021-06-16,8658467,2115263.00
2021-06-17,8657538,2108976.00
2021-06-20,8654535,2064972.00
2021-06-21,8655266,2067743.00
2021-06-22,8655177,2065991.00
2021-06-23,8652241,2039333.00
2021-06-24,8648975,2033374.00
2021-06-27,8647574,2015749.00
2021-06-28,8645084,2028137.00
2021-06-29,8639957,2018294.00
2021-06-30,8636693,2023577.00
2021-07-01,8633204,2049523.00
2021-07-04,8629782,2055614.00
2021-07-05,8630748,2049803.00
2021-07-06,8627694,2036999.00
2021-07-07,8626441,2027214.00
2021-07-08,8620407,1997348.00
2021-07-11,8609029,2034314.00
2021-07-12,8619362,2018655.00
2021-07-13,8622085,2010670.00
2021-07-14,8625256,2001059.00
2021-07-15,8619026,1985824.00
2021-07-19,8561743,1917830.00
2021-07-20,8548631,1924297.00
2021-07-21,8540415,1968566.00
2021-07-22,8559291,1954942.00
2021-07-25,8559098,1976296.00
2021-07-26,8559577,1972982.00
2021-07-27,8565577,1992353.00
2021-07-28,8565297,1988862.00
2021-07-29,8570838,1997862.00
2021-08-01,8573817,1991698.00
2021-08-02,8574681,2033914.00
2021-08-03,8576807,2021553.00
2021-08-04,8574926,2020253.00
2021-08-05,8573327,2026735.00
2021-08-08,8573700,2013962.00
2021-08-09,8570236,2017434.00
2021-08-10,8570118,2056828.00
2021-08-11,8566820,2064604.00
2021-08-12,8562533,2093539.00
2021-08-15,8565168,2119879.00
2021-08-16,8554103,2109442.00
2021-08-17,8541291,2120803.00
2021-08-18,8538980,2156092.00
2021-08-19,8528580,2171376.00
2021-08-22,8524221,2194134.00
2021-08-23,8524209,2195836.00
2021-08-24,8523519,2198216.00
2021-08-25,8520561,2201713.00
2021-08-26,8519719,2183604.00
2021-08-29,8517425,2181313.00
2021-08-30,8515814,2184306.00
2021-08-31,8515745,2162999.00
2021-09-01,8515229,2170532.00
2021-09-02,8512885,2170786.00
2021-09-05,8512521,2174098.00
2021-09-09,8513045,2210838.00
2021-09-12,8513187,2211726.00
2021-09-13,8509713,2228694.00
2021-09-14,8511335,2248695.00
2021-09-19,8514123,2240066.00
2021-09-22,8513939,2250234.00
2021-09-23,8512217,2253184.00
2021-09-26,8512742,2243959.00
2021-09-29,8514676,2221479.00
2021-09-30,8513955,2223845.00
2021-10-03,8511955,2230132.00
2021-10-04,8509837,2224471.00
2021-10-05,8509967,2206634.00
2021-10-06,8511476,2211281.00
2021-10-07,8512191,2225087.00
2021-10-10,8512417,2220890.00
2021-10-11,8514613,2256372.00
2021-10-12,8512908,2288270.00
2021-10-13,8509808,2305307.00
2021-10-14,8505200,2317667.00
2021-10-17,8503621,2329992.00
2021-10-18,8501302,2316605.00
2021-10-19,8501230,2331887.00
2021-10-20,8501359,2347225.00
2021-10-21,8502430,2401936.00
2021-10-24,8277212,2324241.00
2021-10-25,8276119,2324762.00
2021-10-26,8260263,2331046.00
2021-10-27,8309486,2359063.00
2021-10-28,8309238,2354007.00
2021-10-31,8310001,2333448.00
2021-11-01,8309129,2333203.00
2021-11-02,8309262,2337395.00
2021-11-03,8306401,2342405.00
2021-11-04,8305276,2357037.00
2021-11-07,8305855,2362185.00
2021-11-08,8306025,2347283.00
2021-11-09,8309287,2347374.00
2021-11-10,8308796,2321478.00
2021-11-11,8303059,2332329.00
2021-11-14,8302259,2366974.00
2021-11-15,8301371,2349288.00
2021-11-16,8301845,2324517.00
2021-11-17,8303872,2301003.00
2021-11-18,8303074,2322370.00
2021-11-21,8302346,2336280.00
2021-11-22,8297610,2392201.00
2021-11-23,8291620,2393791.00
