Date,Units,Assets
2021-04-11,127103960,2896699.00
2021-04-12,127146954,2884964.00
2021-04-13,127088499,2865846.00
2021-04-18,127796355,2922703.00
2021-04-19,127980309,2911552.00
2021-04-20,128495098,2909129.00
2021-04-21,129058366,2890907.00
2021-04-22,129104529,2911307.00
2021-04-25,129353923,2900115.00
2021-04-26,129394807,2886798.00
2021-04-27,129275079,2926788.00
2021-04-28,129151536,2904618.00
2021-04-29,129183242,2916958.00
2021-05-02,129152951,2921440.00
2021-05-03,129163592,2955263.00
2021-05-04,129071256,2969930.00
2021-05-05,129335419,3000582.00
2021-05-06,129317751,3033794.00
2021-05-09,129412594,3047667.00
2021-05-10,129406609,3059172.00
2021-05-11,129340194,3027854.00
2021-05-12,130031511,3020632.00
2021-05-13,130449804,3089051.00
2021-05-18,130512137,3147953.00
2021-05-19,130458974,3164935.00
2021-05-20,131244792,3191873.00
2021-05-23,130831475,3193596.00
2021-05-24,130798126,3184934.00
2021-05-25,130807745,3208714.00
2021-05-26,130798677,3243807.00
2021-05-27,130883832,3282567.00
2021-05-30,130871814,3250856.00
2021-05-31,130900905,3197909.00
2021-06-01,130925685,3214226.00
2021-06-02,131317930,3257998.00
2021-06-03,131611890,3231072.00
2021-06-06,131507504,3225879.00
2021-06-07,131512031,3261498.00
2021-06-08,132266231,3272267.00
2021-06-09,132312237,3249589.00
2021-06-10,132277632,3243448.00
2021-06-13,132308521,3250820.00
2021-06-14,132335266,3268681.00
2021-06-15,132327779,3248647.00
2021-06-16,132356671,3285093.00
2021-06-17,132356746,3275829.00
2021-06-20,132321193,3207466.00
2021-06-21,132369158,3221865.00
2021-06-22,132332399,3210384.00
2021-06-23,132402223,3171033.00
2021-06-24,132046427,3150628.00
2021-06-27,132026959,3121117.00
2021-06-28,131903197,3144572.00
2021-06-29,131824383,3122920.00
2021-06-30,130719756,3118973.00
2021-07-01,130674033,3155778.00
2021-07-04,130229601,3151556.00
2021-07-05,130214969,3134274.00
2021-07-06,130147614,3115734.00
2021-07-07,130144459,3113055.00
2021-07-08,130144758,3047990.00
2021-07-11,129823890,3113177.00
2021-07-12,129794370,3089106.00
2021-07-13,129784219,3070695.00
2021-07-14,129795867,3059289.00
2021-07-15,129656861,3039157.00
2021-07-19,129512434,2958064.00
2021-07-20,129291697,2967244.00
2021-07-21,129065615,3016263.00
2021-07-22,129445477,2999252.00
2021-07-25,129445184,3027723.00
2021-07-26,129440541,3036675.00
2021-07-27,129424345,3058297.00
2021-07-28,130166894,3066732.00
2021-07-29,130164576,3069281.00
2021-08-01,130198682,3063575.00
2021-08-02,130178249,3142503.00
2021-08-03,130664107,3122872.00
2021-08-04,130601250,3122676.00
2021-08-05,130648831,3123814.00
2021-08-08,130612701,3116419.00
2021-08-09,130565386,3133569.00
2021-08-10,130503728,3176461.00
2021-08-11,130574580,3199077.00
2021-08-12,130523705,3248735.00
2021-08-15,129681312,3245923.00
2021-08-16,129543639,3250250.00
2021-08-17,129362055,3268979.00
2021-08-18,129412706,3324612.00
2021-08-19,129395103,3350039.00
2021-08-22,129367890,3390732.00
2021-08-23,129634328,3395123.00
2021-08-24,129633998,3400300.00
2021-08-25,130171004,3415687.00
2021-08-26,130076416,3381987.00
2021-08-29,129878042,3385921.00
2021-08-30,129872419,3385774.00
2021-08-31,129857577,3346430.00
2021-09-01,129706370,3359395.00
2021-09-02,129597512,3356576.00
2021-09-05,129601526,3356680.00
2021-09-09,129681118,3428769.00
2021-09-12,129517856,3415386.00
2021-09-13,129318896,3430830.00
2021-09-14,129261808,3461631.00
2021-09-19,129270368,3443763.00
2021-09-22,129145399,3462388.00
2021-09-23,129112493,3465379.00
2021-09-26,129110468,3447249.00
2021-09-29,129136556,3411788.00
2021-09-30,128745093,3419470.00
2021-10-03,128778333,3435806.00
2021-10-04,128774139,3400925.00
2021-10-05,128538822,3384427.00
2021-10-06,128547828,3374380.00
2021-10-07,128145749,3404833.00
2021-10-10,128263902,3393863.00
2021-10-11,128265318,3449054.00
2021-10-12,128244233,3504915.00
2021-10-13,128245799,3531889.00
2021-10-14,128240175,3563794.00
2021-10-17,128252075,3562843.00
2021-10-18,128374096,3561097.00
2021-10-19,128574979,3584670.00
2021-10-20,128706876,3617950.00
2021-10-21,128803039,3694071.00
2021-10-24,128968959,3675615.00
2021-10-25,129088708,3681610.00
2021-10-26,129073462,3703118.00
2021-10-27,129056458,3724569.00
2021-10-28,129018886,3714454.00
2021-10-31,129171772,3680104.00
2021-11-01,129119059,3685058.00
2021-11-02,129157641,3690034.00
2021-11-03,129208050,3701811.00
2021-11-04,129190285,3723264.00
2021-11-07,129174880,3733154.00
2021-11-08,129169844,3712341.00
2021-11-09,129179136,3694523.00
2021-11-10,129179731,3669996.00
2021-11-11,129119188,3685062.00
2021-11-14,129096821,3746390.00
2021-11-15,129076721,3709665.00
2021-11-16,129070130,3674627.00
2021-11-17,128886802,3632030.00
2021-11-18,128909390,3675207.00
2021-11-21,128927634,3691198.00
2021-11-22,128957681,3782329.00
2021-11-23,129261105,3796399.00
2021-11-24,129236996,3781475.00
2021-11-25,129255375,3818204.00
2021-11-28,129253042,3761264.00
2021-11-29,129129213,3839012.00
2021-11-30,129155828,3802348.00
2021-12-01,128920130,3841820.00
2021-12-02,129085256,3838996.00
2021-12-05,129042539,3849339.00
2021-12-06,128971570,3866568.00
2021-12-07,128763767,3901542.00
2021-12-08,128865401,3851787.00
2021-12-09,128871971,3831364.00
2021-12-12,128877426,3817349.00
2021-12-13,128876413,3799277.00
2021-12-14,128878606,3780010.00
2021-12-15,128934343,3822903.00
2021-12-16,128898465,3875977.00
2021-12-19,129137472,3819886.00
2021-12-20,129092168,3754000.00
2021-12-21,128776335,3834959.00
2021-12-22,128667595,3861315.00
2021-12-23,128678836,3951727.00
2021-12-26,128671212,3951493.00
2021-12-27,128653669,3947095.00
2021-12-28,128630722,4004274.00
2021-12-29,128547186,3991390.00
2021-12-30,128353053,4026435.00
2022-01-02,128330495,4074493.00
2022-01-03,128369002,4089836.00
2022-01-04,130539263,4233388.00
2022-01-05,132777892,4332543.00
2022-01-06,132835283,4370281.00
2022-01-09,133946197,4306370.00
2022-01-10,133914426,4341506.00
2022-01-11,135396124,4482966.00
2022-01-12,135516108,4570958.00
2022-01-13,138282757,4766607.00
2022-01-16,139178491,4764080.00
2022-01-17,139161112,4656331.00
2022-01-18,138499739,4534481.00
2022-01-19,140281576,4647529.00
2022-01-20,140741071,4631789.00
2022-01-23,140468977,4518887.00
2022-01-24,140253647,4349266.00
2022-01-25,139885031,4347627.00
2022-01-26,139912586,4521975.00
2022-01-27,140584803,4559165.00
2022-01-30,140816702,4548379.00
2022-01-31,140802314,4464841.00
2022-02-01,141114520,4426762.00
2022-02-02,140954595,4492223.00
2022-02-03,141579415,4473910.00
2022-02-06,142169104,4498230.00
2022-02-07,142177067,4535448.00
2022-02-08,142227793,4578313.00
2022-02-09,142228570,4675053.00
2022-02-10,142273333,4686484.00
2022-02-13,142223661,4556846.00
2022-02-14,142545148,4540063.00
2022-02-15,144056702,4690486.00
2022-02-16,144038224,4760463.00
2022-02-17,144634051,4703499.00
2022-02-20,145144529,4723003.00
2022-02-21,145422086,4755302.00
2022-02-22,145415842,4807448.00
2022-02-23,146011008,4894289.00
2022-02-24,146078229,4724170.00
2022-02-27,146287960,4783616.00
2022-02-28,146289570,4758800.00
2022-03-01,146271548,4629494.00
2022-03-02,146653873,4575601.00
2022-03-03,146613555,4545020.00
2022-03-06,146605781,4531585.00
2022-03-07,146613914,4464394.00
2022-03-08,145616422,4407809.00
2022-03-09,147764135,4608763.00
2022-03-10,149100191,4553520.00
2022-03-13,150360112,4455170.00
2022-03-14,150405705,4543756.00
2022-03-15,150387257,4570269.00
2022-03-16,150427260,4690322.00
2022-03-20,148320107,4679499.00
2022-03-21,146873678,4619177.00
2022-03-22,144389573,4593032.00
2022-03-23,142667685,4563939.00
2022-03-24,142540112,4659636.00
2022-03-27,142413587,4617048.00
2022-03-28,142382045,4544835.00
2022-03-29,143599172,4671281.00
2022-03-30,144809072,4716431.00
2022-03-31,146614285,4712183.00
2022-04-03,147152228,4735359.00
2022-04-04,147335189,4713253.00
2022-04-05,147370441,4761539.00
2022-04-06,147481156,4685476.00
2022-04-07,147204558,4682577.00
2022-04-10,147118186,4673945.00
2022-04-11,147108589,4672169.00
2022-04-12,145902808,4693693.00
2022-04-13,145848131,4640888.00
2022-04-14,145839547,4637698.00
2022-04-17,145748749,4637725.00
2022-04-18,145748610,4656668.00
2022-04-19,145728480,4667683.00
2022-04-20,145714974,4694936.00
2022-04-24,145713827,4673042.00
2022-04-25,145651085,4655009.00
2022-04-26,145665581,4665669.00
2022-04-27,145679944,4583091.00
2022-04-28,144567769,4626169.00
2022-05-01,143807671,4529942.00
2022-05-02,143306504,4349352.00
2022-05-03,142395311,4276131.00
2022-05-08,142328222,4151714.00
2022-05-09,142320845,4188502.00
2022-05-10,142241605,4198972.00
2022-05-11,142435889,4265955.00
2022-05-12,142364388,4246730.00
2022-05-15,143187541,4281307.00
2022-05-16,143178026,4344021.00
2022-05-17,144532296,4473275.00
2022-05-18,144945583,4444032.00
2022-05-19,145139114,4341111.00
2022-05-22,146252843,4364185.00
2022-05-23,146272382,4407187.00
2022-05-24,145535416,4336955.00
2022-05-25,145437585,4200237.00
2022-05-26,145361559,4275083.00
2022-05-29,145315184,4359456.00
2022-05-30,145234070,4314904.00
2022-05-31,145224981,4333513.00
2022-06-01,145183806,4457143.00
2022-06-02,145139935,4420962.00
2022-06-06,145153506,4486695.00
2022-06-07,145130658,4484537.00
2022-06-08,145069638,4497159.00
2022-06-09,145061553,4476600.00
2022-06-12,144843572,4322132.00
2022-06-13,145471850,4218684.00
2022-06-14,146571232,4278414.00
2022-06-15,147224405,4356370.00
2022-06-16,147734522,4231117.00
2022-06-19,148804511,4331699.00
2022-06-20,148736956,4363942.00
2022-06-21,148695797,4423700.00
2022-06-22,148688913,4331308.00
2022-06-23,148679632,4305762.00
