Date,Units
2021-04-07,9517588
2021-04-08,9700000
2021-04-11,9782858
2021-04-12,9911912
2021-04-13,10025037
2021-04-18,10158902
2021-04-19,10320890
2021-04-20,10887537
2021-04-21,11321832
2021-04-22,11270565
2021-04-25,11564785
2021-04-26,11694510
2021-04-27,11840446
2021-04-28,12006571
2021-04-29,12324722
2021-05-02,12663392
2021-05-03,12786423
2021-05-04,13171290
2021-05-05,13557738
2021-05-06,13588008
2021-05-09,14867248
2021-05-10,15230193
2021-05-11,15468116
2021-05-12,15436293
2021-05-13,15561305
2021-05-18,15578645
2021-05-19,15794587
2021-05-20,16061975
2021-05-23,16282003
2021-05-24,16522774
2021-05-25,16801589
2021-05-26,17515755
2021-05-27,17820623
2021-05-30,17950258
2021-05-31,17960339
2021-06-01,18208471
2021-06-02,18437740
2021-06-03,18590786
2021-06-06,18815724
2021-06-07,18906931
2021-06-08,19041293
2021-06-09,19172229
2021-06-10,19238602
2021-06-13,19281247
2021-06-14,19362275
2021-06-15,19449268
2021-06-16,19585368
2021-06-17,19763906
2021-06-20,19787437
2021-06-21,19767375
2021-06-22,19802747
2021-06-23,19752149
2021-06-24,19750472
2021-06-27,19661370
2021-06-28,19556970
2021-06-29,19618164
2021-06-30,19675813
2021-07-01,19636455
2021-07-04,19629000
2021-07-05,19626366
2021-07-06,19687154
2021-07-07,19735584
2021-07-08,19744504
2021-07-11,19684285
2021-07-12,19597651
2021-07-13,19579375
2021-07-14,19601515
2021-07-15,19600213
2021-07-19,19468243
2021-07-20,19450861
2021-07-21,19328290
2021-07-22,19242004
2021-07-25,19237333
2021-07-26,19247292
2021-07-27,19243526
2021-07-28,19313668
2021-07-29,19279653
2021-08-01,19250628
2021-08-02,19300874
2021-08-03,19253410
2021-08-04,19264113
2021-08-05,19326462
2021-08-08,19300630
2021-08-09,19278482
2021-08-10,19264823
2021-08-11,19281102
2021-08-12,19014759
2021-08-15,18872867
2021-08-16,18840975
2021-08-17,18838057
2021-08-18,18774805
2021-08-19,18783922
2021-08-22,18814226
2021-08-23,18817538
2021-08-24,18855513
2021-08-25,18866351
2021-08-26,18856607
2021-08-29,18829635
2021-08-30,18809745
2021-08-31,18841879
2021-09-01,19195291
2021-09-02,19211536
2021-09-05,19182894
2021-09-09,19156909
2021-09-12,19110289
2021-09-13,19090593
2021-09-14,19078156
2021-09-19,19053400
2021-09-22,19086887
2021-09-23,19095899
2021-09-26,19127155
2021-09-29,19122875
2021-09-30,19071567
2021-10-03,18991219
2021-10-04,18998737
2021-10-05,18968001
2021-10-06,19064919
2021-10-07,19052284
2021-10-10,19052181
2021-10-11,18968930
2021-10-12,18921513
2021-10-13,18851514
2021-10-14,18813180
2021-10-17,18838729
2021-10-18,18873932
2021-10-19,18926517
2021-10-20,19004333
2021-10-21,19013400
2021-10-24,19022717
2021-10-25,19010821
2021-10-26,18959952
2021-10-27,18952671
2021-10-28,18973175
2021-10-31,18931852
2021-11-01,18896853
2021-11-02,18929804
2021-11-03,18936874
2021-11-04,18955728
2021-11-07,19030917
2021-11-08,19054255
2021-11-09,19149626
2021-11-10,19336778
2021-11-11,19347627
2021-11-14,19355516
2021-11-15,19343279
2021-11-16,19376953
2021-11-17,19422696
2021-11-18,19464507
2021-11-21,19532859
2021-11-22,19566502
2021-11-23,19644475
2021-11-24,19712020
2021-11-25,19830556
2021-11-28,19969497
2021-11-29,19951519
2021-11-30,20023744
2021-12-01,20060821
2021-12-02,20079330
2021-12-05,20109480
2021-12-06,20107299
2021-12-07,20075509
2021-12-08,20107718
2021-12-09,20034733
2021-12-12,20068622
2021-12-13,20087465
2021-12-14,20062295
2021-12-15,20410946
2021-12-16,20835592
2021-12-19,21217436
2021-12-20,21181880
2021-12-21,21098537
2021-12-22,21220157
2021-12-23,21233936
2021-12-26,21217360
2021-12-27,21321691
2021-12-28,21432759
2021-12-29,21505519
2021-12-30,21538320
2022-01-02,21608830
2022-01-03,21761955
2022-01-04,22099412
2022-01-05,22340476
2022-01-06,22513881
2022-01-09,22609347
2022-01-10,22785166
2022-01-11,22744226
2022-01-12,22828596
2022-01-13,23040821
2022-01-16,23099716
2022-01-17,23154820
2022-01-18,23222640
2022-01-19,23169839
2022-01-20,23170944
2022-01-23,23273388
2022-01-24,23065461
2022-01-25,22836466
2022-01-26,22850271
2022-01-27,22917736
2022-01-30,22960937
2022-01-31,23096666
2022-02-01,23154109
2022-02-02,23221196
2022-02-03,23517082
2022-02-06,23655516
2022-02-07,23696962
2022-02-08,23677199
2022-02-09,23707911
2022-02-10,23730351
2022-02-13,23761307
2022-02-14,23699176
2022-02-15,23732069
2022-02-16,23709969
2022-02-17,23772497
2022-02-20,23717537
2022-02-21,23641994
2022-02-22,23634097
2022-02-23,23208594
2022-02-24,23134542
2022-02-27,22862412
2022-02-28,22849405
2022-03-01,22669772
2022-03-02,22608013
2022-03-03,22516503
2022-03-06,22525217
2022-03-07,22420997
2022-03-08,22355109
2022-03-09,22314778
2022-03-10,22310158
2022-03-13,22290331
2022-03-14,22226408
2022-03-15,22200913
2022-03-16,22141017
2022-03-20,22131056
2022-03-21,22145041
2022-03-22,22233646
2022-03-23,22229472
2022-03-24,22263738
2022-03-27,22270665
2022-03-28,22271244
2022-03-29,22213181
2022-03-30,21989934
2022-03-31,21999728
2022-04-03,22003229
2022-04-04,22027569
2022-04-05,22047739
2022-04-06,22128149
2022-04-07,22090155
2022-04-10,22096110
2022-04-11,22096011
2022-04-12,22076960
2022-04-13,21966809
2022-04-14,21962019
2022-04-17,21899920
2022-04-18,21900026
2022-04-19,21906236
2022-04-20,21890174
2022-04-24,21893184
2022-04-25,21858903
2022-04-26,21767117
2022-04-27,21722935
2022-04-28,21668575
2022-05-01,21515663
2022-05-02,21466538
2022-05-03,21100305
2022-05-08,20894796
2022-05-09,20790483
2022-05-10,20769161
2022-05-11,20865285
2022-05-12,20818348
2022-05-15,20593404
2022-05-16,20398911
2022-05-17,19965581
2022-05-18,19780875
2022-05-19,19682278
2022-05-22,19303146
2022-05-23,19201209
2022-05-24,19011020
2022-05-25,18799424
2022-05-26,18592703
2022-05-29,18453700
2022-05-30,18437161
2022-05-31,18353388
2022-06-01,18186006
2022-06-02,18113244
2022-06-06,18060713
2022-06-07,18007659
2022-06-08,17934053
2022-06-09,17769475
2022-06-12,17593408
2022-06-13,17549599
2022-06-14,17331879
2022-06-15,17065914
2022-06-16,16961769
2022-06-19,16840003
2022-06-20,16794915
2022-06-21,16766427
2022-06-22,16753350
2022-06-23,16696579
2022-06-26,16647098
2022-06-27,16636141
2022-06-28,16606373
2022-06-29,16579468
2022-06-30,16606271
2022-07-03,16538754
2022-07-04,16497357
2022-07-05,16491249
2022-07-06,16457070
2022-07-07,16418089
2022-07-10,16397456
2022-07-11,16377911
2022-07-12,16354783
2022-07-13,16264728
2022-07-14,16143306
2022-07-17,16107099
2022-07-18,16067713
2022-07-19,16055230
2022-07-20,15953707
2022-07-21,15949968
2022-07-24,15929495
2022-07-25,15914844
2022-07-26,15913739
2022-07-27,15909046
2022-07-28,15877773
2022-07-31,15834571
2022-08-01,15826277
2022-08-02,15796891
2022-08-03,15787828
2022-08-04,15784037
2022-08-08,15769541
2022-08-09,15767478
2022-08-10,15759342
2022-08-11,15744316
2022-08-14,15701503
2022-08-15,15693629
2022-08-16,15699555
2022-08-17,15652572
2022-08-18,15638544
2022-08-21,15621693
2022-08-22,15616460
2022-08-23,15576369
2022-08-24,15344817
2022-08-25,15310615
2022-08-28,15283055
2022-08-29,15256551
2022-08-30,15237856
2022-08-31,15094762
2022-09-01,15070956
2022-09-04,15047625
2022-09-05,15027092
2022-09-06,15000519
2022-09-07,14960615
2022-09-08,14934264
2022-09-11,14920482
2022-09-12,14910101
2022-09-13,14843337
2022-09-14,14813983
2022-09-15,14738670
2022-09-18,14722767
2022-09-19,14697544
2022-09-20,14673173
2022-09-21,14460259
2022-09-22,14396519
2022-09-28,14328478
2022-09-29,14226239
2022-10-02,14194224
2022-10-03,14109909
2022-10-06,14127514
2022-10-11,14115211
2022-10-12,14074776
2022-10-13,14050019
2022-10-18,14024072
2022-10-19,13995952
2022-10-20,13965924
2022-10-23,13878581
2022-10-24,13788875
2022-10-25,13541481
2022-10-26,13480569
2022-10-27,13450236
2022-10-30,13381876
2022-10-31,13348997
2022-11-02,13282911
2022-11-03,13244033
2022-11-06,13199159
2022-11-07,13179502
2022-11-08,13166243
2022-11-09,13029827
2022-11-10,13002968
2022-11-13,12958803
2022-11-14,12906444
2022-11-15,12801763
2022-11-16,12793606
2022-11-17,12772934
2022-11-20,12671151
2022-11-21,12687645
2022-11-22,12628538
2022-11-23,12359589
2022-11-24,12289024
2022-11-27,12118110
2022-11-28,12080623
2022-11-29,12019730
