Date,Units,Assets
2025-12-25,15082,
2025-12-28,20322,
2025-12-29,71303,
2025-12-30,86125,
2025-12-31,117257,
2026-01-01,153882,
2026-01-05,191682,
2026-01-06,312759,
2026-01-07,736921,
2026-01-08,824787,
2026-01-09,1252498,
2026-01-12,1306434,
2026-01-13,1717837,
2026-01-14,1934385,
2026-01-15,2082227,
2026-01-16,2196498,
2026-01-19,2267889,
2026-01-20,2538866,
2026-01-21,2678988,
2026-01-22,2739439,
2026-01-23,2895107,
2026-01-26,2965896,
2026-01-27,3246910,
2026-01-28,3519801,
2026-01-29,3752118,
2026-01-30,3952497,
2026-02-02,3908626,
2026-02-03,3692364,
2026-02-04,3772161,
2026-02-05,3785280,
2026-02-06,3838382,
2026-02-09,3827598,
2026-02-10,3861595,
2026-02-11,3858806,
2026-02-12,3862700,
2026-02-13,3780083,
2026-02-16,3787069,
2026-02-17,3838258,
2026-02-18,3854414,
2026-02-19,3855959,
2026-02-20,3896381,
2026-02-23,3902346,
2026-02-24,3894589,
2026-02-25,3909471,
2026-02-26,3949864,
2026-02-27,3985552,
2026-03-02,3993674,
2026-03-04,4113206,
2026-03-05,4316242,
2026-03-06,4455166,
2026-03-09,4579016,
2026-03-10,4897664,
2026-03-11,5002271,
2026-03-12,5031608,
2026-03-13,5056829,
2026-03-16,5072829,
2026-03-17,5166229,
2026-03-18,5203598,
2026-03-19,5276457,
2026-03-20,5359707,
2026-03-23,5376609,
2026-03-24,5338560,
2026-03-25,5387337,
2026-03-26,5289824,
2026-03-27,5311617,
2026-03-30,5317025,
2026-03-31,5281888,
2026-04-03,5168281,
2026-04-06,5184626,
2026-04-09,5214079,
2026-04-10,5268718,
2026-04-11,5268718,
2026-04-13,5273259,
2026-04-14,5320852,237736.00
