Date,Units
2022-03-22,0
2022-03-23,266348
2022-03-24,407166
2022-03-27,433492
2022-03-28,480353
2022-03-29,480545
2022-03-30,474531
2022-03-31,455219
2022-04-03,468313
2022-04-04,464833
2022-04-05,466216
2022-04-06,470891
2022-04-07,479629
2022-04-10,479629
2022-04-11,482983
2022-04-12,488387
2022-04-13,473899
2022-04-14,478686
2022-04-17,504043
2022-04-18,507955
2022-04-19,503700
2022-04-20,510415
2022-04-24,513015
2022-04-25,519070
2022-04-26,523822
2022-04-27,525777
2022-04-28,531044
2022-05-01,531809
2022-05-02,529986
2022-05-03,515651
2022-05-08,529555
2022-05-09,529322
2022-05-10,497752
2022-05-11,462752
2022-05-12,463009
2022-05-15,467325
2022-05-16,463369
2022-05-17,464512
2022-05-18,485825
2022-05-19,460193
2022-05-22,460193
2022-05-23,460193
2022-05-24,440193
2022-05-25,437223
2022-05-26,442419
2022-05-29,437381
2022-05-30,437619
2022-05-31,455439
2022-06-01,456721
2022-06-02,459840
2022-06-06,466577
2022-06-07,466577
2022-06-08,466577
2022-06-09,434358
2022-06-12,434358
2022-06-13,435479
2022-06-14,430520
2022-06-15,430520
2022-06-16,433520
2022-06-19,431321
2022-06-20,421073
2022-06-21,403725
2022-06-22,404075
2022-06-23,404075
2022-06-26,406497
2022-06-27,406643
2022-06-28,413416
2022-06-29,413879
2022-06-30,413879
2022-07-03,412734
2022-07-04,408470
2022-07-05,408470
2022-07-06,409201
2022-07-07,409375
2022-07-10,409375
2022-07-11,435197
2022-07-12,432040
2022-07-13,432040
2022-07-14,431590
2022-07-17,439987
2022-07-18,440134
2022-07-19,436034
2022-07-20,436034
2022-07-21,435761
2022-07-24,432088
2022-07-25,432668
2022-07-26,433207
2022-07-27,437203
2022-07-28,437203
2022-07-31,431976
2022-08-01,451039
2022-08-02,491001
2022-08-03,496331
2022-08-04,496264
2022-08-08,473768
2022-08-09,480675
2022-08-10,504688
2022-08-11,504688
2022-08-14,510428
2022-08-15,568218
2022-08-16,585011
2022-08-17,585011
2022-08-18,587446
2022-08-21,629065
2022-08-22,609887
2022-08-23,613348
2022-08-24,617909
2022-08-25,622221
2022-08-28,622683
2022-08-29,632679
2022-08-30,620683
2022-08-31,617332
2022-09-01,604679
2022-09-04,604404
2022-09-05,608741
2022-09-06,609261
2022-09-07,618900
2022-09-08,620295
2022-09-11,605045
2022-09-12,611947
2022-09-13,613385
2022-09-14,613385
2022-09-15,615735
2022-09-18,604037
2022-09-19,607105
2022-09-20,581717
2022-09-21,575514
2022-09-22,580514
2022-09-28,575080
2022-09-29,572944
2022-10-02,585256
2022-10-03,558123
2022-10-06,557123
2022-10-11,569281
2022-10-12,594501
2022-10-13,594501
2022-10-18,604604
2022-10-19,604078
2022-10-20,611878
2022-10-23,611654
2022-10-24,626654
2022-10-25,634154
2022-10-26,659256
2022-10-27,665846
2022-10-30,673896
2022-10-31,682027
2022-11-02,676193
2022-11-03,681593
2022-11-06,654037
2022-11-07,665027
2022-11-08,669178
2022-11-09,676278
2022-11-10,669079
2022-11-13,671779
2022-11-14,675659
2022-11-15,675069
2022-11-16,676569
2022-11-17,641198
2022-11-20,641307
2022-11-21,643607
2022-11-22,643607
2022-11-23,643607
2022-11-24,648637
2022-11-27,656187
2022-11-28,652305
2022-11-29,657851
2022-11-30,681902
2022-12-01,685006
2022-12-04,686255
2022-12-05,686255
2022-12-06,686255
2022-12-07,676273
2022-12-08,686510
2022-12-11,679780
2022-12-12,680280
2022-12-13,661330
2022-12-14,662276
2022-12-15,662401
2022-12-18,662401
2022-12-19,667401
2022-12-20,662701
2022-12-21,665971
2022-12-22,665971
2022-12-25,658654
2022-12-26,663797
2022-12-27,647511
2022-12-28,658242
2022-12-29,640756
2023-01-01,641511
2023-01-02,610179
2023-01-03,641896
2023-01-04,635709
2023-01-05,634554
2023-01-08,635042
