Date,Units,Assets
2021-04-11,1667052,137532.00
2021-04-12,1667143,137706.00
2021-04-13,1666683,139468.00
2021-04-18,1672272,141608.00
2021-04-19,1675711,145217.00
2021-04-20,1677370,147139.00
2021-04-21,1676041,145631.00
2021-04-22,1679474,146215.00
2021-04-25,1682732,147458.00
2021-04-26,1684830,147052.00
2021-04-27,1685960,148179.00
2021-04-28,1700721,150820.00
2021-04-29,1715466,153894.00
2021-05-02,1719296,153843.00
2021-05-03,1719071,157329.00
2021-05-04,1722526,156767.00
2021-05-05,1726903,160049.00
2021-05-06,1734625,159984.00
2021-05-09,1737796,160416.00
2021-05-10,1739953,159902.00
2021-05-11,1743153,154687.00
2021-05-12,1744240,155133.00
2021-05-13,1743532,155331.00
2021-05-18,1741891,159296.00
2021-05-19,1744841,158763.00
2021-05-20,1749537,162759.00
2021-05-23,1750583,166708.00
2021-05-24,1753646,166719.00
2021-05-25,1755926,166269.00
2021-05-26,1755232,166256.00
2021-05-27,1757494,165011.00
2021-05-30,1760233,165145.00
2021-05-31,1747184,163362.00
2021-06-01,1729752,160850.00
2021-06-02,1731255,158531.00
2021-06-03,1732911,156586.00
2021-06-06,1733236,158816.00
2021-06-07,1736107,158663.00
2021-06-08,1736062,157530.00
2021-06-09,1736404,157804.00
2021-06-10,1736296,158750.00
2021-06-13,1736753,161275.00
2021-06-14,1736684,161268.00
2021-06-15,1740714,161521.00
2021-06-16,1742419,161087.00
2021-06-17,1743399,160672.00
2021-06-20,1741975,160244.00
2021-06-21,1740363,161419.00
2021-06-22,1744714,161822.00
2021-06-23,1744576,161443.00
2021-06-24,1745290,161038.00
2021-06-27,1744492,159255.00
2021-06-28,1743975,159312.00
2021-06-29,1680095,152821.00
2021-06-30,1635002,148703.00
2021-07-01,1631965,148085.00
2021-07-04,1629323,148920.00
2021-07-05,1627374,149393.00
2021-07-06,1626388,149676.00
2021-07-07,1625217,151795.00
2021-07-08,1629709,149249.00
2021-07-11,1626817,150904.00
2021-07-12,1625059,150822.00
2021-07-13,1624045,150565.00
2021-07-14,1623984,150836.00
2021-07-15,1623711,148570.00
2021-07-19,1616312,142914.00
2021-07-20,1608114,143203.00
2021-07-21,1607209,145388.00
2021-07-22,1610780,146098.00
2021-07-25,1608291,148172.00
2021-07-26,1608607,147171.00
2021-07-27,1609011,146822.00
2021-07-28,1608388,146717.00
2021-07-29,1615678,148125.00
2021-08-01,1614610,148738.00
2021-08-02,1616942,150085.00
2021-08-03,1619169,147102.00
2021-08-04,1613082,146032.00
2021-08-05,1609686,145306.00
2021-08-08,1609023,144796.00
2021-08-09,1608675,142078.00
2021-08-10,1607395,143347.00
2021-08-11,1605093,143014.00
2021-08-12,1601369,143915.00
2021-08-15,1600502,145726.00
2021-08-16,1600901,144673.00
2021-08-17,1601689,143976.00
2021-08-18,1595318,146721.00
2021-08-19,1591275,145936.00
2021-08-22,1589083,147340.00
2021-08-23,1586300,147986.00
2021-08-24,1586492,149162.00
2021-08-25,1589121,150998.00
2021-08-26,1589872,150911.00
2021-08-29,1590533,152787.00
2021-08-30,1593766,152380.00
2021-08-31,1595938,153194.00
2021-09-01,1596063,154339.00
2021-09-02,1583948,153326.00
2021-09-05,1582979,152995.00
2021-09-09,1583597,154242.00
2021-09-12,1581777,155504.00
2021-09-13,1583663,156957.00
2021-09-14,1585812,156393.00
2021-09-19,1593074,158543.00
2021-09-22,1604425,159769.00
2021-09-23,1604413,160441.00
2021-09-26,1604625,160463.00
2021-09-29,1610199,158283.00
2021-09-30,1606488,157307.00
2021-10-03,1608789,158434.00
2021-10-04,1605918,155870.00
2021-10-05,1593046,152996.00
2021-10-06,1586922,150710.00
2021-10-07,1584004,151874.00
2021-10-10,1587586,152091.00
2021-10-11,1591055,154348.00
2021-10-12,1587109,154330.00
2021-10-13,1588775,156034.00
2021-10-14,1590690,156906.00
2021-10-17,1593803,157229.00
2021-10-18,1590349,155600.00
2021-10-19,1592442,156155.00
2021-10-20,1558088,153082.00
2021-10-21,1557317,155046.00
2021-10-24,1560991,155163.00
2021-10-25,1559962,155450.00
2021-10-26,1525216,152522.00
2021-10-27,1527651,153376.00
2021-10-28,1528333,153750.00
2021-10-31,1527435,156104.00
2021-11-01,1529028,157490.00
2021-11-02,1524881,159350.00
2021-11-03,1524770,160558.00
2021-11-04,1527780,163167.00
2021-11-07,1535689,165547.00
2021-11-08,1539644,165666.00
2021-11-09,1545723,166320.00
2021-11-10,1544616,164193.00
2021-11-11,1542528,163971.00
2021-11-14,1542507,165202.00
2021-11-15,1541585,166183.00
2021-11-16,1547716,167153.00
2021-11-17,1549133,167461.00
2021-11-18,1550744,168566.00
2021-11-21,1552190,168878.00
2021-11-22,1551750,171158.00
2021-11-23,1553208,170542.00
2021-11-24,1558808,170689.00
2021-11-25,1563771,171858.00
2021-11-28,1570089,168000.00
2021-11-29,1564569,168348.00
2021-11-30,1560803,167630.00
2021-12-01,1560478,170716.00
2021-12-02,1560097,169583.00
2021-12-05,1563475,170262.00
2021-12-06,1562811,170815.00
2021-12-07,1565279,173902.00
2021-12-08,1571010,175639.00
2021-12-09,1571555,176171.00
2021-12-12,1575395,176917.00
2021-12-13,1577552,175897.00
2021-12-14,1582284,175634.00
2021-12-15,1583073,176988.00
2021-12-16,1581415,179807.00
2021-12-19,1586957,178850.00
2021-12-20,1588157,174856.00
2021-12-21,1585835,176345.00
2021-12-22,1585759,178081.00
2021-12-23,1585077,180540.00
2021-12-26,1576431,181447.00
2021-12-27,1573649,181284.00
2021-12-28,1578352,184509.00
2021-12-29,1579912,184692.00
2021-12-30,1581345,186282.00
2022-01-02,1581169,189108.00
2022-01-03,1585096,190846.00
2022-01-04,1584980,191783.00
2022-01-05,1585374,192781.00
2022-01-06,1585260,193719.00
2022-01-09,1586496,190538.00
2022-01-10,1594311,190042.00
2022-01-11,1595603,192908.00
2022-01-12,1592240,196323.00
2022-01-13,1596199,199365.00
2022-01-16,1600260,199072.00
2022-01-17,1606836,201979.00
2022-01-18,1604616,200577.00
2022-01-19,1611128,201069.00
2022-01-20,1669592,211203.00
2022-01-23,1747490,215815.00
2022-01-24,1736424,204724.00
2022-01-25,1713126,203177.00
2022-01-26,1706661,206847.00
2022-01-27,1705928,207611.00
2022-01-30,1701029,210587.00
2022-01-31,1701008,209564.00
2022-02-01,1710492,212956.00
2022-02-02,1711484,216332.00
2022-02-03,1716100,214513.00
2022-02-06,1717137,212238.00
2022-02-07,1711657,209678.00
2022-02-08,1710193,206078.00
2022-02-09,1706128,208659.00
2022-02-10,1705030,207332.00
2022-02-13,1711692,203007.00
2022-02-14,1701215,203125.00
2022-02-15,1691667,203338.00
2022-02-16,1695533,206685.00
2022-02-17,1695732,206371.00
2022-02-20,1702457,203444.00
2022-02-21,1701886,204226.00
2022-02-22,1696675,200038.00
2022-02-23,1697297,197905.00
2022-02-24,1694716,188791.00
2022-02-27,1687853,191571.00
2022-02-28,1687667,191044.00
2022-03-01,1686279,193753.00
2022-03-02,1687822,194943.00
2022-03-03,1690604,195772.00
2022-03-06,1689650,193296.00
2022-03-07,1685656,191153.00
2022-03-08,1682396,187924.00
2022-03-09,1680185,192045.00
2022-03-10,1681764,191721.00
2022-03-13,1683542,189398.00
2022-03-14,1681084,191812.00
2022-03-15,1680935,190954.00
2022-03-16,1677106,193706.00
2022-03-20,1676020,196262.00
2022-03-21,1681435,197905.00
2022-03-22,1685978,200126.00
2022-03-23,1686694,199873.00
2022-03-24,1686688,201222.00
2022-03-27,1687910,199511.00
2022-03-28,1688642,198922.00
2022-03-29,1688450,199575.00
2022-03-30,1688439,198392.00
2022-03-31,1689923,199242.00
2022-04-03,1689826,202272.00
2022-04-04,1691070,204789.00
2022-04-05,1690954,206804.00
2022-04-06,1691415,203477.00
2022-04-07,1691345,202961.00
2022-04-10,1695682,200938.00
2022-04-11,1697314,199095.00
2022-04-12,1695668,198563.00
2022-04-13,1694053,198035.00
2022-04-14,1690169,198088.00
2022-04-17,1691992,198640.00
2022-04-18,1692440,199877.00
