Date,Units,Assets
2026-03-10,15734298,
2026-03-11,15766205,
2026-03-12,15652963,
2026-03-13,15328831,
2026-03-16,15305889,
2026-03-17,15319636,
2026-03-18,15481452,
2026-03-19,15503737,
2026-03-20,15512627,
2026-03-23,15499949,
2026-03-24,15483732,
2026-03-25,15479536,
2026-03-26,15446195,
2026-03-27,15750093,
2026-03-30,15748646,
2026-03-31,15728134,
2026-04-03,15739793,
2026-04-06,15739824,
2026-04-09,15737521,
2026-04-10,15702124,
2026-04-11,15702124,
2026-04-13,15764159,
2026-04-14,15768272,225486.00
