Date,Units,Assets
2021-04-07,20105247,
2021-04-08,20106945,
2021-04-11,22028279,
2021-04-12,22063594,
2021-04-13,22228108,
2021-04-18,22277067,
2021-04-19,22293831,
2021-04-20,23745041,
2021-04-21,24600057,
2021-04-22,25347377,
2021-04-25,26060495,
2021-04-26,26126540,
2021-04-27,26822384,
2021-04-28,26873730,
2021-04-29,26871073,
2021-05-02,26888174,
2021-05-03,26836445,
2021-05-04,26772409,
2021-05-05,26749869,
2021-05-06,26731801,
2021-05-09,26687951,
2021-05-10,26681828,
2021-05-11,26632180,
2021-05-12,26644700,
2021-05-13,26668496,
2021-05-18,26689038,
2021-05-19,26695597,
2021-05-20,26716216,
2021-05-23,26781775,
2021-05-24,26769918,
2021-05-25,26380464,
2021-05-26,26368511,
2021-05-27,25662580,
2021-05-30,24968255,
2021-05-31,24990438,
2021-06-01,24213401,
2021-06-02,23432021,
2021-06-03,22988620,
2021-06-06,23164989,
2021-06-07,23255818,
2021-06-08,23269895,
2021-06-09,23317835,
2021-06-10,23376047,
2021-06-13,23446225,
2021-06-14,23457953,
2021-06-15,23450333,
2021-06-16,23463450,
2021-06-17,23475996,
2021-06-20,23504462,
2021-06-21,23537134,
2021-06-22,24125600,
2021-06-23,24678532,
2021-06-24,24691100,
2021-06-27,24704632,
2021-06-28,24702061,
2021-06-29,24712333,
2021-06-30,24725171,
2021-07-01,24719091,
2021-07-04,24762689,
2021-07-05,24768402,
2021-07-06,24651818,
2021-07-07,24555993,
2021-07-08,24451040,
2021-07-11,24409253,
2021-07-12,24390677,
2021-07-13,24396538,
2021-07-14,24341193,
2021-07-15,24374733,
2021-07-19,25998884,
2021-07-20,26564584,
2021-07-21,26580466,
2021-07-22,26574364,
2021-07-25,26631491,
2021-07-26,26630499,
2021-07-27,26628590,
2021-07-28,26651453,
2021-07-29,27055998,
2021-08-01,27115599,
2021-08-02,27137440,
2021-08-03,27124982,
2021-08-04,24251240,
2021-08-05,24134964,
2021-08-08,24071989,
2021-08-09,24076180,
2021-08-10,24447628,
2021-08-11,24429477,
2021-08-12,24871927,
2021-08-15,24258265,
2021-08-16,24305960,
2021-08-17,24374139,
2021-08-18,24406938,
2021-08-19,24434544,
2021-08-22,24555161,
2021-08-23,24488653,
2021-08-24,24480913,
2021-08-25,24793741,
2021-08-26,24007850,
2021-08-29,23450118,
2021-08-30,23423473,
2021-08-31,23389110,
2021-09-01,22315874,
2021-09-02,22324183,
2021-09-05,22306767,
2021-09-09,22285262,
2021-09-12,23290298,
2021-09-13,23964582,
2021-09-14,24705800,
2021-09-19,24812847,
2021-09-22,24810263,
2021-09-23,24824328,
2021-09-26,24826073,
2021-09-29,24839594,
2021-09-30,24821370,
2021-10-03,24858637,
2021-10-04,24857657,
2021-10-05,24889698,
2021-10-06,24888201,
2021-10-07,24891644,
2021-10-10,24970592,
2021-10-11,25153563,
2021-10-12,25194303,
2021-10-13,25196720,
2021-10-14,25237179,
2021-10-17,25243684,
2021-10-18,25128364,
2021-10-19,25150801,
2021-10-20,25212825,
2021-10-21,25518498,
2021-10-24,25526272,
2021-10-25,25502555,
2021-10-26,25497515,
2021-10-27,25762133,
2021-10-28,25688852,
2021-10-31,25723138,
2021-11-01,25774852,
2021-11-02,25809784,
2021-11-03,25820598,
2021-11-04,26402631,
2021-11-07,26512280,
2021-11-08,26541651,
2021-11-09,27021300,
2021-11-10,27383712,
2021-11-11,27876161,
2021-11-14,27903718,
2021-11-15,27920629,
2021-11-16,28312438,
2021-11-17,28673451,
2021-11-18,29009294,
2021-11-21,29109293,
2021-11-22,29173320,
2021-11-23,29212768,
2021-11-24,29849692,
2021-11-25,30531675,
2021-11-28,30555866,
2021-11-29,31169530,
2021-11-30,31214351,
2021-12-01,31903580,
2021-12-02,31958234,
2021-12-05,32024920,
2021-12-06,31983602,
2021-12-07,32112127,
2021-12-08,32372846,
2021-12-09,32386438,
2021-12-12,32442941,
2021-12-13,32444008,
2021-12-14,32396479,
2021-12-15,32423693,
2021-12-16,32441487,
2021-12-19,32820211,
2021-12-20,32830720,
2021-12-21,33425385,
2021-12-22,33454887,
2021-12-23,33497399,
2021-12-26,33488934,
2021-12-27,33681577,
2021-12-28,33717168,
2021-12-29,33642712,
2021-12-30,33670805,
2022-01-02,33780106,
2022-01-03,33800267,
2022-01-04,35666876,
2022-01-05,36320891,
2022-01-06,36556124,
2022-01-09,37284748,
2022-01-10,37391881,
2022-01-11,37404392,
2022-01-12,37417517,
2022-01-13,37461079,
2022-01-16,39237354,
2022-01-17,39395304,
2022-01-18,39597106,
2022-01-19,39662415,
2022-01-20,39662815,
2022-01-23,40212875,
2022-01-24,40883822,
2022-01-25,40972578,
2022-01-26,41025292,
2022-01-27,41175254,
2022-01-30,41212239,
2022-01-31,41290257,
2022-02-01,41517760,
2022-02-02,40465127,
2022-02-03,40618737,
2022-02-06,40650945,
2022-02-07,40728102,
2022-02-08,40081832,
2022-02-09,40135916,
2022-02-10,39310089,
2022-02-13,38796169,
2022-02-14,38740789,
2022-02-15,37760400,
2022-02-16,37087014,
2022-02-17,37130684,
2022-02-20,36225138,
2022-02-21,36202235,
2022-02-22,35314962,
2022-02-23,35251533,
2022-02-24,34732092,
2022-02-27,34710210,
2022-02-28,34724261,
2022-03-01,33792074,
2022-03-02,33376684,
2022-03-03,33457857,
2022-03-06,33471494,
2022-03-07,33436745,
2022-03-08,33308900,
2022-03-09,33312855,
2022-03-10,33381549,
2022-03-13,33437923,
2022-03-14,33544321,
2022-03-15,33442793,
2022-03-16,33428788,
2022-03-20,33441356,
2022-03-21,33312368,
2022-03-22,33209202,
2022-03-23,33224998,
2022-03-24,33190307,
2022-03-27,33075092,
2022-03-28,32894567,
2022-03-29,32995189,
2022-03-30,33061221,
2022-03-31,33056865,
2022-04-03,33005230,
2022-04-04,33026208,
2022-04-05,33207008,
2022-04-06,33779743,
2022-04-07,34492248,
2022-04-10,35921149,
2022-04-11,36575825,
2022-04-12,37514242,
2022-04-13,38051328,
2022-04-14,38096836,
2022-04-17,38216021,
2022-04-18,38224027,
2022-04-19,38238188,
2022-04-20,38259493,
2022-04-24,38312909,
2022-04-25,38314101,
2022-04-26,38332829,
2022-04-27,38929853,
2022-04-28,39067276,
2022-05-01,39084342,
2022-05-02,39131439,
2022-05-03,37119350,
2022-05-08,37012486,
2022-05-09,37460662,
2022-05-10,38168047,
2022-05-11,38158783,
2022-05-12,38256687,
2022-05-15,38192951,
2022-05-16,38199256,
2022-05-17,38294494,
2022-05-18,38309742,
2022-05-19,38246033,
2022-05-22,33927699,
2022-05-23,33827388,
2022-05-24,33654442,
2022-05-25,33697226,
2022-05-26,33698733,
2022-05-29,33719471,
2022-05-30,33817316,
2022-05-31,33810161,
2022-06-01,33717934,
2022-06-02,33718204,
2022-06-06,33748686,
2022-06-07,33778998,
2022-06-08,33804141,
2022-06-09,33881110,
2022-06-12,33963167,
2022-06-13,34441986,
2022-06-14,34433014,
2022-06-15,34416024,
2022-06-16,34528789,
2022-06-19,34687329,
2022-06-20,34775466,
2022-06-21,34753359,
2022-06-22,34813139,
2022-06-23,34826258,
2022-06-26,34835604,
2022-06-27,34849051,
2022-06-28,34939180,
2022-06-29,34972986,
2022-06-30,34939380,
2022-07-03,35729595,
2022-07-04,35831685,
2022-07-05,35911678,
2022-07-06,35929175,
2022-07-07,35947545,
2022-07-10,36912704,
2022-07-11,36978082,
2022-07-12,37093125,
2022-07-13,37080440,
2022-07-14,37090027,
2022-07-17,37107085,
2022-07-18,37166813,
2022-07-19,39217801,
2022-07-20,39906103,
2022-07-21,39903925,
2022-07-24,40550555,
2022-07-25,40600517,
2022-07-26,40557880,
2022-07-27,40581244,
2022-07-28,40514682,
2022-07-31,40496460,
2022-08-01,40625167,
2022-08-02,40588946,
2022-08-03,40613978,
2022-08-04,40633407,
2022-08-08,40876382,
2022-08-09,41109921,
2022-08-10,41120041,
2022-08-11,41202401,
2022-08-14,41340194,
2022-08-15,41413033,
2022-08-16,41474043,
2022-08-17,41496647,
2022-08-18,42685705,
2022-08-21,44447448,
2022-08-22,44410678,
2022-08-23,44397376,
2022-08-24,44679317,
2022-08-25,44680127,
2022-08-28,44699539,
2022-08-29,44695156,
2022-08-30,44712143,
2022-08-31,44738516,
2022-09-01,44781564,
2022-09-04,44811237,
2022-09-05,44810147,
2022-09-06,44840922,
2022-09-07,44798445,
2022-09-08,44795967,
2022-09-11,44805319,
2022-09-12,44843449,
2022-09-13,44872890,
2022-09-14,44894385,
2022-09-15,44893030,
2022-09-18,44901877,
2022-09-19,45030752,
2022-09-20,45010725,
2022-09-21,43172887,
2022-09-22,43193402,
2022-09-28,43207001,
2022-09-29,43218521,
2022-10-02,42652706,
2022-10-03,41936845,
2022-10-06,41930259,
2022-10-11,41885088,
2022-10-12,41853451,
2022-10-13,41637226,
2022-10-18,41760387,
2022-10-19,42190952,
2022-10-20,42875783,
2022-10-23,42270213,
2022-10-24,42235570,
2022-10-25,42107002,
2022-10-26,42091991,
2022-10-27,42095576,
2022-10-30,42099992,
2022-10-31,42149975,
2022-11-02,42090559,
2022-11-03,42106048,
2022-11-06,42186571,
2022-11-07,42195232,
2022-11-08,42196796,
2022-11-09,41742214,
2022-11-10,41223001,
2022-11-13,41468559,
2022-11-14,41579371,
2022-11-15,41583247,
2022-11-16,41519711,
2022-11-17,40909566,
2022-11-20,40916393,
2022-11-21,40950923,
2022-11-22,41017090,
2022-11-23,41196478,
2022-11-24,40568452,
2022-11-27,39516071,
2022-11-28,39502714,
2022-11-29,39403089,
2022-11-30,39399696,
2022-12-01,39676129,
2022-12-04,39841870,
2022-12-05,39884519,
2022-12-06,39896176,
2022-12-07,39891829,
2022-12-08,39788499,
2022-12-11,39781646,
2022-12-12,39771038,
2022-12-13,39969302,
2022-12-14,40133096,
2022-12-15,40194846,
2022-12-18,40193076,
2022-12-19,40279838,
2022-12-20,40310198,
2022-12-21,40669620,
2022-12-22,40565843,
2022-12-25,41326097,
2022-12-26,41406618,
2022-12-27,41682429,
2022-12-28,41648784,
2022-12-29,42013901,
2023-01-01,42500514,
2023-01-02,42337738,
2023-01-03,43005748,
2023-01-04,43333767,
2023-01-05,43420156,
2023-01-08,43414804,
2023-01-09,43437346,
2023-01-10,43452374,
2023-01-11,43649864,
2023-01-12,43677802,
2023-01-15,43705617,
2023-01-16,43702449,
2023-01-17,43704992,
2023-01-18,43763580,
2023-01-19,43768953,
2023-01-22,43927325,
2023-01-23,44096344,
2023-01-24,44463011,
2023-01-25,44811690,
2023-01-26,45087548,
2023-01-29,44163447,
2023-01-30,43804721,
2023-01-31,43563248,
2023-02-01,43560599,
2023-02-02,43557548,
2023-02-05,43538763,
2023-02-06,43483820,
2023-02-07,43450523,
2023-02-08,43443468,
2023-02-09,43441993,
2023-02-12,43107860,
2023-02-13,43104166,
2023-02-14,43136993,
2023-02-15,43106208,
2023-02-16,42811819,
2023-02-19,42766865,
2023-02-20,42781229,
2023-02-21,42955698,
2023-02-22,42991239,
2023-02-23,43187347,
2023-02-26,43555883,
2023-02-27,43473342,
2023-02-28,43312008,
2023-03-01,43194415,
2023-03-02,43111581,
2023-03-05,43089738,
2023-03-06,43040709,
2023-03-08,43330016,
2023-03-09,43280111,
2023-03-12,43389869,
2023-03-13,43120378,
2023-03-14,42914602,
2023-03-15,42826797,
2023-03-16,42685197,
2023-03-19,42660798,
2023-03-20,42650639,
2023-03-21,42597251,
2023-03-22,42500393,
2023-03-23,42459152,
2023-03-26,42438326,
2023-03-27,42424150,
2023-03-28,42702068,
2023-03-29,40802314,
2023-03-30,39069204,
2023-04-02,37805366,
2023-04-03,37522031,
2023-04-04,37389570,
2023-04-09,37357443,
2023-04-10,37459477,
2023-04-13,37424919,
2023-04-16,37377652,
2023-04-17,37401278,
2023-04-18,37194819,
2023-04-19,37084976,
2023-04-20,37153494,
2023-04-23,37141600,
2023-04-24,37227236,
2023-04-27,37202957,
2023-04-30,37175750,
2023-05-01,37183914,
2023-05-02,37163483,
2023-05-03,37207837,
2023-05-04,37574192,
2023-05-07,37562093,
2023-05-08,37554287,
2023-05-09,37589764,
2023-05-10,37513615,
2023-05-11,37596651,
2023-05-14,39125753,
2023-05-15,39132687,
2023-05-16,39287305,
2023-05-17,41025274,
2023-05-18,41516305,
2023-05-21,42928314,
2023-05-22,42939931,
2023-05-23,42939365,
2023-05-24,42974740,
2023-05-28,43674164,
2023-05-29,43675062,
2023-05-30,43613688,
2023-05-31,43602708,
2023-06-01,44272956,
2023-06-04,44303498,
2023-06-05,44466361,
2023-06-06,44546875,
2023-06-07,44484134,
2023-06-08,44633609,
2023-06-11,44608412,
2023-06-12,44656598,
2023-06-13,44743963,
2023-06-14,44755847,
2023-06-15,44736253,
2023-06-18,44742513,
2023-06-19,44780994,
2023-06-20,44780143,
2023-06-21,44829443,
2023-06-22,44837982,
2023-06-25,44823648,
2023-06-26,44815226,
2023-06-27,44729355,
2023-06-28,45779518,
2023-06-29,45774393,
2023-07-02,46990412,
2023-07-03,47001741,
2023-07-04,46970504,
2023-07-05,47771711,
2023-07-06,48490630,
2023-07-09,48808130,
2023-07-10,48831878,
2023-07-11,48804533,
2023-07-12,48742948,
2023-07-13,48739179,
2023-07-16,48514194,
2023-07-17,48380080,
2023-07-18,48243563,
2023-07-19,48115336,
2023-07-20,48106360,
2023-07-23,48004194,
2023-07-24,47910712,
2023-07-25,47850127,
2023-07-26,45984542,
2023-07-30,45793032,
2023-07-31,45812948,
2023-08-01,45826254,
2023-08-02,45843604,
2023-08-03,45809702,
2023-08-06,45872751,
2023-08-07,45849360,
2023-08-08,45898563,
2023-08-09,46019943,
2023-08-10,46103947,
2023-08-13,46061713,
2023-08-14,46047959,
2023-08-15,46056281,
2023-08-16,46025383,
2023-08-17,46008851,
2023-08-20,46001655,
2023-08-21,46004373,
2023-08-22,45986891,
2023-08-23,46002505,
2023-08-24,46121026,
2023-08-27,46045008,
2023-08-28,46056559,
2023-08-29,46067028,
