Date,Units
2021-04-07,31065757
2021-04-08,30995467
2021-04-11,30990618
2021-04-12,31029111
2021-04-13,30904156
2021-04-18,30889765
2021-04-19,30943335
2021-04-20,31487476
2021-04-21,31485545
2021-04-22,31439706
2021-04-25,31421048
2021-04-26,31501598
2021-04-27,31528186
2021-04-28,31530805
2021-04-29,31709948
2021-05-02,31722617
2021-05-03,31724181
2021-05-04,31770694
2021-05-05,31743619
2021-05-06,31751068
2021-05-09,31741428
2021-05-10,31764160
2021-05-11,31795483
2021-05-12,31775794
2021-05-13,31809755
2021-05-18,31870039
2021-05-19,31878425
2021-05-20,31893188
2021-05-23,31882838
2021-05-24,31850280
2021-05-25,31799786
2021-05-26,31850644
2021-05-27,31851366
2021-05-30,31823742
2021-05-31,31833130
2021-06-01,32037055
2021-06-02,31999214
2021-06-03,32017424
2021-06-06,32013641
2021-06-07,32011508
2021-06-08,31990985
2021-06-09,31993204
2021-06-10,32071737
2021-06-13,32075806
2021-06-14,32072258
2021-06-15,32087847
2021-06-16,32179239
2021-06-17,32231039
2021-06-20,32230331
2021-06-21,32234054
2021-06-22,32221764
2021-06-23,32245762
2021-06-24,32260353
2021-06-27,32243448
2021-06-28,32198919
2021-06-29,32158220
2021-06-30,31968263
2021-07-01,31926090
2021-07-04,31823106
2021-07-05,31801865
2021-07-06,31780692
2021-07-07,31757319
2021-07-08,31757282
2021-07-11,31728351
2021-07-12,31704002
2021-07-13,31700034
2021-07-14,31714410
2021-07-15,31708571
2021-07-19,31706227
2021-07-20,31668556
2021-07-21,31644258
2021-07-22,31678220
2021-07-25,31684544
2021-07-26,31684137
2021-07-27,31382116
2021-07-28,31385029
2021-07-29,31311445
2021-08-01,31035520
2021-08-02,31011720
2021-08-03,31005313
2021-08-04,30717293
2021-08-05,30718969
2021-08-08,30649203
2021-08-09,30650052
2021-08-10,30629133
2021-08-11,30422944
2021-08-12,30413098
2021-08-15,30372543
2021-08-16,30352178
2021-08-17,30350112
2021-08-18,30351640
2021-08-19,30298362
2021-08-22,30289267
2021-08-23,30278446
2021-08-24,29687865
2021-08-25,29805435
2021-08-26,29771854
2021-08-29,29763605
2021-08-30,29758162
2021-08-31,29744802
2021-09-01,29746552
2021-09-02,29757442
2021-09-05,29685885
2021-09-09,29665127
2021-09-12,29692921
2021-09-13,29692774
2021-09-14,29696465
2021-09-19,29717866
2021-09-22,29707195
