Date,Units
2021-04-07,4073474
2021-04-08,4087386
2021-04-11,4021958
2021-04-12,4015639
2021-04-13,4014032
2021-04-18,4022195
2021-04-19,4025290
2021-04-20,4135960
2021-04-21,4222301
2021-04-22,4242498
2021-04-25,4241952
2021-04-26,4264914
2021-04-27,4295379
2021-04-28,4320720
2021-04-29,4324746
2021-05-02,4326802
2021-05-03,4340781
2021-05-04,4332382
2021-05-05,4348096
2021-05-06,4379977
2021-05-09,4333483
2021-05-10,4334157
2021-05-11,4331173
2021-05-12,4357321
2021-05-13,4340474
2021-05-18,4342527
2021-05-19,4355707
2021-05-20,4366282
2021-05-23,4370297
2021-05-24,4365148
2021-05-25,4417225
2021-05-26,4417225
2021-05-27,4380386
2021-05-30,4376708
2021-05-31,4379490
2021-06-01,4391443
2021-06-02,4391843
2021-06-03,4391698
2021-06-06,4393190
2021-06-07,4438425
2021-06-08,4482807
2021-06-09,4526676
2021-06-10,4524179
2021-06-13,4535366
2021-06-14,4572910
2021-06-15,4663730
2021-06-16,4738761
2021-06-17,4814685
2021-06-20,4824658
2021-06-21,4888658
2021-06-22,4895901
2021-06-23,4926350
2021-06-24,4939519
2021-06-27,4978111
2021-06-28,4982453
2021-06-29,4980777
2021-06-30,4983236
2021-07-01,4985165
2021-07-04,4983190
2021-07-05,5001213
2021-07-06,4996821
2021-07-07,4999956
2021-07-08,5060525
2021-07-11,5046482
2021-07-12,5044282
2021-07-13,5048075
2021-07-14,5053620
2021-07-15,5074440
2021-07-19,5073052
2021-07-20,5072410
2021-07-21,5075910
2021-07-22,5067405
2021-07-25,5073853
2021-07-26,5074606
2021-07-27,5093685
2021-07-28,5098468
2021-07-29,5107743
2021-08-01,5109342
2021-08-02,5103696
2021-08-03,5105152
2021-08-04,5108054
2021-08-05,5106494
2021-08-08,5095838
2021-08-09,5107006
2021-08-10,5123607
2021-08-11,5146024
2021-08-12,5150535
2021-08-15,5149196
2021-08-16,5149282
2021-08-17,5171709
2021-08-18,5176583
2021-08-19,5175619
2021-08-22,5181991
2021-08-23,5173342
2021-08-24,5165343
2021-08-25,5166075
2021-08-26,5146039
2021-08-29,5140632
2021-08-30,5140632
2021-08-31,5142322
2021-09-01,5145896
2021-09-02,5145896
2021-09-05,5145896
2021-09-09,5144603
2021-09-12,5143856
2021-09-13,5138592
2021-09-14,5126387
2021-09-19,5127035
2021-09-22,5135554
2021-09-23,5134554
2021-09-26,5133686
2021-09-29,5133686
2021-09-30,5125874
2021-10-03,5125874
2021-10-04,5122568
2021-10-05,5110168
2021-10-06,5097684
2021-10-07,5096515
2021-10-10,5081490
2021-10-11,5081490
2021-10-12,5083129
2021-10-13,5079031
2021-10-14,5076106
2021-10-17,5076106
2021-10-18,5071844
2021-10-19,5071679
2021-10-20,5071839
2021-10-21,5091712
2021-10-24,5139662
2021-10-25,5142156
2021-10-26,5142156
2021-10-27,5150989
2021-10-28,5152159
2021-10-31,5146897
2021-11-01,5148284
2021-11-02,5151186
2021-11-03,5151026
2021-11-04,5157709
2021-11-07,5157709
2021-11-08,5160738
2021-11-09,5156250
2021-11-10,5157752
2021-11-11,5156723
2021-11-14,5139085
2021-11-15,5139085
2021-11-16,5141839
2021-11-17,5167174
2021-11-18,5172799
2021-11-21,5182293
2021-11-22,5188525
2021-11-23,5192612
2021-11-24,5194664
2021-11-25,5195135
2021-11-28,5205162
2021-11-29,5163574
2021-11-30,5166860
2021-12-01,5168418
2021-12-02,5173608
2021-12-05,5178696
2021-12-06,5172549
2021-12-07,5176650
2021-12-08,5176650
2021-12-09,5186128
2021-12-12,5196716
2021-12-13,5192011
2021-12-14,5203696
2021-12-15,5205135
2021-12-16,5196752
2021-12-19,5197506
2021-12-20,5199393
2021-12-21,5200239
2021-12-22,5200844
2021-12-23,5205233
2021-12-26,5199080
2021-12-27,5203077
2021-12-28,5201913
2021-12-29,5205701
2021-12-30,5199373
2022-01-02,5184413
2022-01-03,5186123
2022-01-04,5131586
2022-01-05,5136176
2022-01-06,5137240
2022-01-09,5138020
2022-01-10,5110405
2022-01-11,5109033
2022-01-12,5104958
2022-01-13,5090077
2022-01-16,5096444
2022-01-17,5095572
2022-01-18,5101937
2022-01-19,5150002
2022-01-20,5152150
2022-01-23,5140425
2022-01-24,5134645
2022-01-25,5073910
2022-01-26,5099820
2022-01-27,5101851
2022-01-30,5101851
2022-01-31,5104153
2022-02-01,5103710
2022-02-02,5101147
2022-02-03,5102811
2022-02-06,5094065
2022-02-07,5104611
2022-02-08,5085064
2022-02-09,5085064
2022-02-10,5027943
2022-02-13,5023086
2022-02-14,4987162
2022-02-15,4984569
2022-02-16,5012350
2022-02-17,5018131
2022-02-20,5018131
2022-02-21,5014285
2022-02-22,5001142
2022-02-23,4994635
2022-02-24,4990926
2022-02-27,4986700
2022-02-28,4985450
2022-03-01,4985450
2022-03-02,4979947
2022-03-03,4975651
2022-03-06,5039268
2022-03-07,5033481
2022-03-08,4999198
2022-03-09,4986944
2022-03-10,4983156
2022-03-13,4981059
2022-03-14,4983225
2022-03-15,4981571
2022-03-16,4973416
2022-03-20,4968184
2022-03-21,4985084
2022-03-22,4983884
2022-03-23,4983041
2022-03-24,4987237
2022-03-27,4987237
2022-03-28,4983533
2022-03-29,4976105
2022-03-30,4969771
2022-03-31,4977299
2022-04-03,4972608
2022-04-04,4971806
2022-04-05,5031943
2022-04-06,5025552
2022-04-07,4993552
2022-04-10,4990052
2022-04-11,4989473
2022-04-12,4986358
2022-04-13,4985372
2022-04-14,4984548
2022-04-17,4974344
2022-04-18,4973282
2022-04-19,4971641
2022-04-20,4966802
2022-04-24,4946299
2022-04-25,4949244
2022-04-26,4950744
2022-04-27,4954155
2022-04-28,4952101
2022-05-01,4953101
2022-05-02,4954863
2022-05-03,4947018
2022-05-08,4943485
2022-05-09,4927474
2022-05-10,4924095
2022-05-11,4927824
2022-05-12,4984572
2022-05-15,4950183
2022-05-16,4948040
2022-05-17,4947267
2022-05-18,4942291
2022-05-19,4942291
2022-05-22,4942291
2022-05-23,4937291
2022-05-24,4937291
2022-05-25,4937411
2022-05-26,4937521
2022-05-29,4935971
2022-05-30,4935971
2022-05-31,4952088
2022-06-01,4966054
2022-06-02,4963507
2022-06-06,4963102
2022-06-07,4962942
2022-06-08,4962942
2022-06-09,4962942
2022-06-12,4961630
2022-06-13,4959555
2022-06-14,4957534
2022-06-15,4956224
2022-06-16,4956134
2022-06-19,4950788
2022-06-20,4950538
2022-06-21,4952192
2022-06-22,4949617
2022-06-23,4950101
2022-06-26,4950421
2022-06-27,4950421
