Date,Units,Assets
2021-04-11,4021958,50838.00
2021-04-12,4015639,50316.00
2021-04-13,4014032,50175.00
2021-04-18,4022195,50277.00
2021-04-19,4025290,49793.00
2021-04-20,4135960,50128.00
2021-04-21,4222301,51090.00
2021-04-22,4242498,51886.00
2021-04-25,4241952,52473.00
2021-04-26,4264914,52629.00
2021-04-27,4295379,53563.00
2021-04-28,4320720,53836.00
2021-04-29,4324746,54059.00
2021-05-02,4326802,53479.00
2021-05-03,4340781,54303.00
2021-05-04,4332382,53202.00
2021-05-05,4348096,53047.00
2021-05-06,4379977,52866.00
2021-05-09,4333483,52348.00
2021-05-10,4334157,51316.00
2021-05-11,4331173,49549.00
2021-05-12,4357321,50806.00
2021-05-13,4340474,50610.00
2021-05-18,4342527,50590.00
2021-05-19,4355707,50526.00
2021-05-20,4366282,51260.00
2021-05-23,4370297,52487.00
2021-05-24,4365148,52382.00
2021-05-25,4417225,53051.00
2021-05-26,4417225,52742.00
2021-05-27,4380386,52477.00
2021-05-30,4376708,53177.00
2021-05-31,4379490,52729.00
2021-06-01,4391443,53005.00
2021-06-02,4391843,52483.00
2021-06-03,4391698,52437.00
2021-06-06,4393190,52367.00
2021-06-07,4438425,52817.00
2021-06-08,4482807,53570.00
2021-06-09,4526676,54275.00
2021-06-10,4524179,53702.00
2021-06-13,4535366,55241.00
2021-06-14,4572910,56064.00
2021-06-15,4663730,57224.00
2021-06-16,4738761,57529.00
2021-06-17,4814685,58113.00
2021-06-20,4824658,58185.00
2021-06-21,4888658,59251.00
2021-06-22,4895901,59142.00
2021-06-23,4926350,59855.00
2021-06-24,4939519,60559.00
2021-06-27,4978111,61380.00
2021-06-28,4982453,62231.00
2021-06-29,4980777,62110.00
2021-06-30,4983236,61892.00
2021-07-01,4985165,61966.00
2021-07-04,4983190,61792.00
2021-07-05,5001213,62315.00
2021-07-06,4996821,62460.00
2021-07-07,4999956,62649.00
2021-07-08,5060525,61283.00
2021-07-11,5046482,62223.00
2021-07-12,5044282,62146.00
2021-07-13,5048075,62041.00
2021-07-14,5053620,61806.00
2021-07-15,5074440,61046.00
2021-07-19,5073052,59000.00
2021-07-20,5072410,59905.00
2021-07-21,5075910,61469.00
2021-07-22,5067405,61822.00
